2025-07-20 17:04:07.454 [restartedMain] INFO  com.epam.gymapp.GymappApplication - Starting GymappApplication using Java 21.0.2 with PID 10636 (C:\Users\andre\OneDrive\Documentos\EPAM\Proyecto Spring 2\gym-app-epam-project\target\classes started by andre in C:\Users\andre\OneDrive\Documentos\EPAM\Proyecto Spring 2\gym-app-epam-project)
2025-07-20 17:04:30.755 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2025-07-20 17:04:30.755 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Application version is -1: true
2025-07-20 17:04:30.756 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2025-07-20 17:04:32.337 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - The response status is 200
2025-07-20 17:04:32.349 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2025-07-20 17:04:32.352 [restartedMain] INFO  c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2025-07-20 17:04:32.359 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1753049072354 with initial instances count: 1
2025-07-20 17:04:32.403 [restartedMain] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Registering application MAIN-MICROSERVICE with eureka with status UP
2025-07-20 17:04:32.404 [restartedMain] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1753049072404, current=UP, previous=STARTING]
2025-07-20 17:04:32.408 [restartedMain] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2025-07-20 17:04:32.408 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MAIN-MICROSERVICE/localhost:main-microservice:8080: registering service...
2025-07-20 17:04:32.548 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8080 (http) with context path '/'
2025-07-20 17:04:32.549 [restartedMain] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8080
2025-07-20 17:04:32.923 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MAIN-MICROSERVICE/localhost:main-microservice:8080 - registration status: 204
2025-07-20 17:04:33.569 [restartedMain] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-07-20 17:04:34.582 [restartedMain] INFO  o.s.cloud.commons.util.InetUtils - Cannot determine local hostname
2025-07-20 17:04:34.694 [restartedMain] INFO  com.epam.gymapp.GymappApplication - Started GymappApplication in 32.207 seconds (process running for 35.503)
2025-07-20 17:09:30.786 [AsyncResolver-bootstrap-executor-%d] INFO  c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2025-07-20 17:18:25.344 [SpringApplicationShutdownHook] INFO  o.s.c.n.e.s.EurekaServiceRegistry - Unregistering application MAIN-MICROSERVICE with eureka with status DOWN
2025-07-20 17:18:25.357 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1753049905357, current=DOWN, previous=UP]
2025-07-20 17:18:25.360 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MAIN-MICROSERVICE/localhost:main-microservice:8080: registering service...
2025-07-20 17:18:25.572 [DiscoveryClient-InstanceInfoReplicator-%d] INFO  c.netflix.discovery.DiscoveryClient - DiscoveryClient_MAIN-MICROSERVICE/localhost:main-microservice:8080 - registration status: 204
2025-07-20 17:18:25.777 [SpringApplicationShutdownHook] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Commencing graceful shutdown. Waiting for active requests to complete
2025-07-20 17:18:25.905 [tomcat-shutdown] INFO  o.s.b.w.e.tomcat.GracefulShutdown - Graceful shutdown complete
2025-07-20 17:18:27.346 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-07-20 17:18:27.454 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-07-20 17:18:27.558 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-07-20 17:18:27.589 [SpringApplicationShutdownHook] INFO  c.netflix.discovery.DiscoveryClient - Shutting down DiscoveryClient ...
